date,aod,pm25,Temp_Max,Temp_Min,Humidity,Precipitation,Wind_Speed,SLP,U10M,V10M,TQV,TS
5/29/2023,0.358000017,32.625,33.2,22.6,74,2.8,20.7,1007.326454,0.6745363061666666,0.856971723,40.932193920833335,303.84093591666664
5/30/2023,0.303000014,35.583333333333336,33.5,22.7,69,0.5,17.7,1006.9121379166667,1.2074160495666668,-0.429174597,38.77947840416667,305.22791804166667
5/31/2023,0.41800002,27.416666666666668,30.1,21.8,78,2.3,21.6,1006.6167454166666,2.687453669679167,-1.019289516,36.65876468,302.1486371666667
6/1/2023,0.290000014,39.125,33,19.9,69,0,14.6,1005.0705195833333,1.2328886922583333,-1.892840765,35.864738145833336,305.2697894
6/4/2023,0.518000025,-954.9583333,35.9,23.5,58,0.2,12.7,1004.1145875000001,0.045815910141666694,0.7057514053208332,38.549005666666666,302.8991966
6/5/2023,0.518000025,-956.2916667,37.3,25.1,51,0,20.1,1002.4964395833334,2.4207538066833334,-2.20058163,33.03792325833333,307.2434792916667
6/7/2023,0.41500002,-868.375,38.4,25.1,37,0,22.2,1002.12363,1.0974638144541666,-1.863999591,29.65974052916667,307.95945870833333
6/10/2023,0.183000009,-955.9583333,41.1,27.7,39,0.2,22,997.4044113333333,4.005557805833333,-0.910353373,42.48670959583333,309.9965363
6/16/2023,1.61500008,-54.58333333,38.2,26.6,52,1.1,28.6,999.0767591,2.8345317518333335,-0.011380876,55.29586807916667,310.4286460416667
6/17/2023,1.40200007,-442.25,39.4,27.6,52,0.3,15.5,999.4263408333333,1.544295695,2.1838763576583333,59.264177958333335,308.5542234166667
6/20/2023,0.651000031,-266.6666667,36.8,27.2,66,4.3,20.6,998.1680119583334,-2.119577633,-0.634034814,53.90337006666667,308.7556342916667
6/21/2023,0.766000036,-656.2916667,35.8,26.3,78,19.5,16.4,998.923075,-0.356349884,0.627231323,58.39565944166667,310.1623916666667
6/22/2023,0.522000025,-827.25,36.2,27.6,74,0.8,18.2,998.5239895833333,0.6864380366249999,-1.497247471,62.99507619,309.43517808333337
